Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
29-Dec-14,Louisiana,New Orleans,Poydras and Bolivar,0,4,N/A
27-Dec-14,California,Los Angeles,8800 block of South Figueroa Street,1,3,N/A
27-Dec-14,California,Sacramento,4000 block of May Street,0,4,N/A
26-Dec-14,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,N/A
24-Dec-14,Missouri,Saint Louis,18th and Pine,1,3,N/A
23-Dec-14,Kentucky,Winchester,260 Oxford Drive,1,3,N/A
22-Dec-14,Michigan,Detroit,Charlevoix and Philip,1,3,N/A
22-Dec-14,New York,Webster,191 Lake Road,4,2,N/A
22-Dec-14,Illinois,Chicago,5700 block of South Green Street,0,5,N/A
21-Dec-14,Florida,Sarasota,4034 N Washington Blvd,2,2,N/A
21-Dec-14,Mississippi,Waynesboro,Central Avenue,1,4,N/A
21-Dec-14,Illinois,Calumet City,600 block of Escanba,1,8,N/A
20-Dec-14,Illinois,Rockford,3200 block of Montrose Avenue,4,0,N/A
16-Dec-14,New Jersey,Elizabeth,Anna Street,0,4,N/A
15-Dec-14,Pennsylvania,Lansdale,100 block of West 5th St,7,0,N/A
14-Dec-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4,N/A
13-Dec-14,Florida,Tampa,810 E. Skagway Ave.,0,5,N/A
12-Dec-14,Oregon,Portland,717 North Killingsworth Court,0,4,N/A
7-Dec-14,Indiana,South Bend,16000 block of Roosevelt Road,0,4,N/A
2-Dec-14,Missouri,Saint Louis,6000 block of Virginia Avenue,1,5,N/A
2-Dec-14,Virginia,Newport News,6128 Jefferson Ave ,0,5,N/A
30-Nov-14,New York,Brooklyn,375 Remsen Avenue,0,4,N/A
30-Nov-14,Tennessee,Chattanooga,2412 East 13th Street ,0,5,N/A
29-Nov-14,New Jersey,Newark,348 S Orange Ave,1,3,N/A
29-Nov-14,Georgia,Atlanta,1600 block of Richmond Avenue,3,2,N/A
28-Nov-14,Tennessee,Memphis,1849 East Brooks Road ,0,4,N/A
27-Nov-14,Texas,Georgetown,Pvt Rd 934,2,3,N/A
26-Nov-14,California,San Francisco,Mission and 13th streets,0,6,N/A
23-Nov-14,Virginia,Parksley,Parksley Road,0,4,N/A
23-Nov-14,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,N/A
22-Nov-14,Ohio,Cleveland,1443 E 92nd St,4,1,N/A
22-Nov-14,South Dakota,Sisseton,Fourth Avenue,4,1,N/A
22-Nov-14,Ohio,Springfield,Clifton Avenue and Rice Street,1,3,N/A
21-Nov-14,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,N/A
19-Nov-14,Illinois,Chicago,700 block of North St. Louis Avenue,1,3,N/A
18-Nov-14,Nevada,North Las Vegas,Englestad Street,0,4,N/A
16-Nov-14,Ohio,Akron,1891 E Market St,1,4,N/A
16-Nov-14,Texas,El Paso,115 S. Durango,0,6,N/A
15-Nov-14,Missouri,Springfield,2555 N. Glenstone,4,0,N/A
15-Nov-14,Florida,Miami,NW 55th and 12th,1,3,N/A
8-Nov-14,California,Pomona,499 E. Arrow Highway,0,5,N/A
7-Nov-14,California,Compton,136th Street ,0,4,N/A
7-Nov-14,California,Los Angeles,East 126th Street and North Compton Avenue,0,4,N/A
5-Nov-14,California,San Francisco,1100 block of Alabama Street ,0,4,N/A
29-Oct-14,Tennessee,Memphis,Yale Road and Ramill Road,0,5,N/A
26-Oct-14,Kentucky,Cadiz,1410 Old Dover Road,4,0,N/A
24-Oct-14,Washington,Marysville,5611 108th St NE,5,1,N/A
18-Oct-14,New York,Queens,33-02 Queens Blvd,0,4,N/A
