Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
23-Sep-15,Florida,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,0,4,N/A
23-Sep-15,Georgia,Norcross,1300 block of Reddington Lane,1,3,N/A
20-Sep-15,Pennsylvania,Philadelphia,900 block of Pratt Street,1,3,N/A
20-Sep-15,Illinois,Chicago,5700 block of South LaSalle,1,5,N/A
20-Sep-15,Oklahoma,Tulsa,Pine and Yale,0,6,N/A
19-Sep-15,Indiana,Indianapolis,3900 block of Graceland Avenue,1,3,N/A
17-Sep-15,South Dakota,Geddes,36705 379th Street,6,0,N/A
17-Sep-15,Michigan,Albion,500 block of W. Broadwell Street,0,4,N/A
15-Sep-15,New Jersey,Newark,Irvine Turner Boulevard and West Kinney Street,0,4,N/A
13-Sep-15,Florida,Ocala,1910 South Pine Avenue,1,5,N/A
12-Sep-15,Louisiana,Shreveport,1500 block of Clanton Street,0,4,N/A
12-Sep-15,New York,Rochester,36 Woodward Street,2,4,N/A
12-Sep-15,Minnesota,Minneapolis,1st Ave. and N. 5th St.,0,6,N/A
12-Sep-15,Minnesota,Minneapolis,1200 block of 22nd Ave. N.,1,3,N/A
11-Sep-15,North Carolina,Charlotte,1000 North Carolina Music Factory Blvd.,0,5,N/A
10-Sep-15,Minnesota,Excelsior (Greenwood),Channel Drive,5,0,N/A
8-Sep-15,Georgia,Berlin,N/A,0,4,N/A
8-Sep-15,Illinois,Chicago,56th and Green,0,4,N/A
7-Sep-15,Indiana,Gary,9300 block of Sunrise,2,4,N/A
7-Sep-15,Colorado,Denver,1909 Blake Street,0,4,N/A
5-Sep-15,North Carolina,Charlotte,6800 block of Fieldvale Place,1,3,N/A
5-Sep-15,Florida,Daytona Beach,300 block of Pearl Street,0,4,N/A
5-Sep-15,Nevada,Las Vegas,5000 block of Hollywood Boulevard,1,3,N/A
5-Sep-15,Missouri,Columbia,1509 Ashley Street,0,4,N/A
