Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
13-May-19,Missouri,Saint Louis,4047 Shreve Ave,3,2,N/A
13-May-19,Louisiana,New Orleans,2100 block of 4th St,0,4,N/A
11-May-19,New Jersey,Paulsboro,275 W Buck St,0,4,N/A
11-May-19,Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,N/A
10-May-19,Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5,N/A
10-May-19,Missouri,Saint Louis,4000 block of Ashland Ave,0,6,N/A
8-May-19,Indiana,Indianapolis,Roache St and Rader St,0,4,N/A
7-May-19,Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,N/A
5-May-19,New Jersey,North Bergen,2033 45th Street,1,4,N/A
5-May-19,California,Oceano,1001 Cabrillo Hwy,0,6,N/A
4-May-19,Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,N/A
4-May-19,Indiana,Indianapolis,101 W Maryland St,0,4,N/A
4-May-19,California,Stockton,5105 Holiday Dr,1,4,N/A
4-May-19,Delaware,Wilmington,W 27th St and Tatnall St,0,4,N/A
3-May-19,Texas,Dallas,5400 Cedar Springs Rd,1,3,N/A
3-May-19,Maryland,Baltimore,1900 block of Ramsay St,0,5,N/A
3-May-19,Maryland,Baltimore,2500 block of E Biddle St,0,4,N/A
1-May-19,Massachusetts,Boston,32 Windermere Rd,1,3,N/A
30-Apr-19,North Carolina,Charlotte,9214 South Library Ln,2,4,N/A
28-Apr-19,Ohio,West Chester,4637 Wyndtree Drive,4,0,N/A
28-Apr-19,Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7,N/A
28-Apr-19,Alabama,Birmingham,514 19th St Ensley,0,4,N/A
28-Apr-19,Maryland,Baltimore,2544 Edmondson Ave,1,7,N/A
27-Apr-19,California,Los Angeles,700 N San Fernando Rd,0,6,N/A
27-Apr-19,Mississippi,Jackson,700 block of Monterey St,1,3,N/A
27-Apr-19,California,Poway,16934 Chabad Way,1,3,N/A
27-Apr-19,Michigan,Jackson,800 block of Homewild St,0,4,N/A
26-Apr-19,Oklahoma,Hugo,400 block of W Bissell St,0,4,N/A
21-Apr-19,Pennsylvania,Philadelphia,1500 block of South 31st St,0,4,N/A
20-Apr-19,Tennessee,Memphis,761 Chestnut Ave,0,5,N/A
20-Apr-19,Texas,Corpus Christi,2900 block of Sunrise Ave,0,4,N/A
19-Apr-19,Kansas,Wichita,1628 S George Washington Blvd,0,4,N/A
18-Apr-19,Kentucky,Louisville,4000 block of Bells Ln,0,4,N/A
16-Apr-19,Maryland,Germantown,18700 block of Curry Powder Ln,1,3,N/A
14-Apr-19,California,Stockton,2539 E Main St,0,4,N/A
14-Apr-19,California,Vallejo,100 block of Princeton Ave,1,3,N/A
14-Apr-19,Florida,Miami,NW 19th Ave and 60th St,2,2,N/A
13-Apr-19,California,Moreno Valley,23500 block of Alessandro Blvd,0,4,N/A
12-Apr-19,Illinois,Carbondale,119 N Washington St,0,4,N/A
11-Apr-19,Maryland,Baltimore,2200 block of Ruskin Ave,1,3,N/A
11-Apr-19,California,Los Angeles,E 103rd St and S Main St,1,4,N/A
11-Apr-19,Arizona,Phoenix,7112 W Minnezona Ave,3,2,N/A
9-Apr-19,Missouri,Kansas City,5339 Michigan Ave,1,3,N/A
7-Apr-19,North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7,N/A
7-Apr-19,Indiana,Indianapolis,3600 block of Roosevelt Ave,2,2,N/A
7-Apr-19,Louisiana,Shreveport,433 Flournoy Lucas Rd,0,4,N/A
7-Apr-19,Delaware,Wilmington,940 N Pine St,0,6,N/A
6-Apr-19,Florida,Tallahassee,500 block of Kissimmee St,0,4,N/A
6-Apr-19,Illinois,Chicago,6300 block of S Seeley Ave,0,6,N/A
4-Apr-19,Georgia,Stockbridge,300 block of Eagle Ct,3,2,N/A
4-Apr-19,Florida,Panama City,100 block of Allen Ave,1,3,N/A
2-Apr-19,Mississippi,Hermanville,13195 MS 18,0,4,N/A
2-Apr-19,Kentucky,Covington,300 block of 13th St,0,5,N/A
31-Mar-19,Illinois,Chicago,500 block of N Hamlin Ave,1,4,N/A
31-Mar-19,Georgia,Atlanta,3041 Landrum Dr SW,1,4,N/A
31-Mar-19,South Carolina,North Charleston,1900 block of Jacksonville Rd,0,7,N/A
28-Mar-19,Maryland,Baltimore,6200 block of Boston St,0,4,N/A
25-Mar-19,Nevada,North Las Vegas,2400 block of W San Miguel St,0,5,N/A
24-Mar-19,California,San Francisco,1300 Fillmore St,1,6,N/A
24-Mar-19,Arizona,Phoenix,2202 W McDowell Rd,0,7,N/A
19-Mar-19,Arizona,Phoenix,8526 N 27th Ave,2,4,N/A
17-Mar-19,Georgia,Augusta,900 block of Broad St,0,4,N/A
17-Mar-19,Georgia,Rochelle,Dennis St,1,3,N/A
17-Mar-19,Nevada,Las Vegas,600 E Fremont St,0,4,N/A
16-Mar-19,New Jersey,Camden,619 Ferry Ave,1,3,N/A
15-Mar-19,Alabama,Mobile,515 Dauphin Island Pkwy,2,4,N/A
14-Mar-19,Montana,Missoula,5145 Airway Blvd,1,3,N/A
13-Mar-19,Illinois,Harvey,14701 S Wood St,1,3,N/A
11-Mar-19,New Jersey,Paterson,291 12th Ave,0,4,N/A
10-Mar-19,Louisiana,Shreveport,2700 block of San Jacinto Ave,0,4,N/A
10-Mar-19,Colorado,Denver,15th St and Market St,1,4,N/A
3-Mar-19,California,Oakland,316 14th St,0,4,N/A
3-Mar-19,Illinois,Chicago,2900 block of E 79th St,0,6,N/A
2-Mar-19,Arkansas,Pine Bluff,723 East 25th Ave,1,4,N/A
28-Feb-19,California,Oakland,9755 Edes Ave,1,3,N/A
22-Feb-19,Alabama,Birmingham,1100 block of Carnation Dr,2,2,N/A
21-Feb-19,Maryland,Baltimore,500 block of Bloom St,1,4,N/A
21-Feb-19,Kentucky,Elizabethtown,600 N Miles St,2,2,N/A
21-Feb-19,Texas,Houston,12800 block of Eastbrook Dr,2,2,N/A
20-Feb-19,Tennessee,Covington,529 N College St,0,4,N/A
17-Feb-19,Texas,Henderson,504 S Van Buren St,2,2,N/A
17-Feb-19,Indiana,Evansville,664 E Illinois St,0,5,N/A
17-Feb-19,Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,N/A
16-Feb-19,Mississippi,Clinton,1214 Foxhill Dr,5,0,N/A
15-Feb-19,Illinois,Aurora,641 Archer Ave,6,6,N/A
14-Feb-19,Florida,Jacksonville,5905 Redpoll Ave,2,2,N/A
11-Feb-19,Texas,Livingston,3628 FM 3126,5,0,N/A
9-Feb-19,Virginia,Petersburg,109 Perry St,0,4,N/A
6-Feb-19,New York,Brooklyn,1778 Fulton St,1,3,N/A
5-Feb-19,Texas,San Antonio,538 Hot Wells Blvd,2,2,N/A
4-Feb-19,District of Columbia,Washington,2341 Pennsylvania Avenue SE,0,4,N/A
4-Feb-19,Louisiana,Baton Rouge,4000 block of Topeka St,0,4,N/A
3-Feb-19,California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,N/A
3-Feb-19,Illinois,Chicago,938 E 75th St,2,5,N/A
1-Feb-19,California,San Diego,6800 block of Springfield St,0,4,N/A
28-Jan-19,Texas,Houston,7815 Harding St,2,4,N/A
27-Jan-19,Alabama,Birmingham,Avenue O and Warrior Rd,0,5,N/A
26-Jan-19,Louisiana,Gonzales,42350 Church Point Rd,5,0,N/A
26-Jan-19,Indiana,Indianapolis,2957 N Sherman Dr,0,5,N/A
