Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
26-Jan-19,Georgia,Albany,300 block of West Roosevelt,0,4,N/A
26-Jan-19,New Jersey,Newark,612 Bergen St,1,3,N/A
24-Jan-19,Georgia,Rockmart,148 W Church Rd,4,1,N/A
24-Jan-19,Pennsylvania,State College,1450 S Atherton St,4,1,N/A
23-Jan-19,Florida,Sebring,1901 US 27 S,5,0,N/A
20-Jan-19,Florida,Miami,26133 SW 139th Ave,0,4,N/A
19-Jan-19,South Carolina,Gaffney,1435 Wilcox Ave,1,4,N/A
19-Jan-19,Texas,Houston,7041 Sherman St,3,2,N/A
19-Jan-19,Illinois,Chicago,4400 block of W Madison St,0,4,N/A
19-Jan-19,Florida,Jacksonville,11445 Brian Lakes Drive,3,2,N/A
19-Jan-19,Pennsylvania,Lebanon,1140 Church St,0,4,N/A
17-Jan-19,Kentucky,Owensboro,940 Audubon Ave,3,1,N/A
16-Jan-19,Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,N/A
16-Jan-19,California,Palmdale,Ranch Center Dr and 40th St W,3,1,N/A
15-Jan-19,Arkansas,Little Rock,5420 Baseline Rd,1,3,N/A
13-Jan-19,Arizona,Phoenix,2445 E Van Buren St,1,5,N/A
6-Jan-19,New Mexico,Roswell,1300 block of W College Blvd,0,4,N/A
4-Jan-19,Virginia,Hurt,3197 Shula Dr,3,2,N/A
4-Jan-19,California,Torrance,22501 Hawthorne Blvd,3,4,N/A
3-Jan-19,Arizona,Yuma,3800 block of E. County 18½ St,1,3,N/A
2-Jan-19,Arkansas,Jonesboro,3516 Galaxy St,1,3,N/A
1-Jan-19,South Carolina,Columbia,1709 Decker Blvd,0,5,N/A
1-Jan-19,Florida,Tallahassee,2020 W Pensacola St,0,5,N/A
